# z_source N_kappa omega2_kappa A_kappa
0.7925040080160322 1.2920619236786954 0.37421660463578194 2.7385691949627327
0.8025230460921845 1.298346490969796 0.3707498668022698 2.741793615124766
0.8125420841683367 1.3046219207485314 0.36734846868282184 2.7450932339835594
0.8225611222444891 1.3108882829106463 0.36401058798868086 2.7484659819796264
0.8325801603206414 1.3171456453836643 0.3607344703020808 2.751909862027299
0.8425991983967936 1.3233940730513771 0.3575184264937421 2.7554229454163193
0.852618236472946 1.3296336284550438 0.35436082950559855 2.759003371070842
0.8626372745490983 1.3358643718465804 0.3512601112444503 2.7626493395902805
0.8726563126252506 1.3420863601690096 0.34821476073754765 2.7663591133384315
0.8826753507014029 1.348299646279662 0.34522332206623346 2.7701310146761937
0.8926943887775552 1.3545042804084741 0.34228439089895163 2.773963420677985
0.9027134268537075 1.3607003115056913 0.33939661151957995 2.777854761151865
